compiler,port,server_threads,parallel_bench_processes,repetition,success,failed,total_iterations,downloads_per_process,elapsed_s,idle_power_w,energy_j_raw,idle_energy_j_estimated,energy_j,real_transferred_bytes,throughput_mib_s
gcc,8080,1,1,0,1,0,1,1.0,1.7084624850012915,13.170072646666666,37.227475,22.50057504157167,14.72689995842833,1073741824,599.369321240452
gcc,8080,1,1,1,1,0,1,1.0,1.149982500999613,13.170072646666666,26.788044,15.145353080560325,11.642690919439675,1073741824,890.4483321353988
gcc,8080,1,1,2,1,0,1,1.0,1.0189002210008766,13.170072646666666,22.552529,13.418989930286266,9.133539069713734,1073741824,1005.0051799911416
gcc,8080,1,1,3,1,0,1,1.0,1.0060495810012071,13.170072646666666,22.138641,13.249746067934458,8.888894932065542,1073741824,1017.8424794739528
gcc,8080,1,1,4,1,0,1,1.0,1.0436910360003822,13.170072646666666,23.876695,13.745486764799828,10.131208235200173,1073741824,981.1332709382636
gcc,8080,1,1,5,1,0,1,1.0,1.1517129629992269,13.170072646666666,26.779346,15.168143390807536,11.611202609192464,1073741824,889.1104232545548
gcc,8080,1,1,6,1,0,1,1.0,1.1422116840003582,13.170072646666666,26.870238,15.043010856156188,11.827227143843812,1073741824,896.5063257045783
gcc,8080,1,1,7,1,0,1,1.0,1.1525159159991745,13.170072646666666,26.597578,15.178718340148706,11.418859659851293,1073741824,888.4909837555193
gcc,8080,1,1,8,1,0,1,1.0,1.0641546639999433,13.170072646666666,24.228178,14.01499423216841,10.21318376783159,1073741824,962.2661391634464
gcc,8080,1,1,9,1,0,1,1.0,1.0578928170016297,13.170072646666666,24.11913,13.932525252298309,10.18660474770169,1073741824,967.9619556377255
gcc,8080,1,1,10,1,0,1,1.0,1.1617607669995778,13.170072646666666,25.701979,15.300473699431626,10.401505300568376,1073741824,881.4207099148599
gcc,8080,1,1,11,1,0,1,1.0,1.1648209020004288,13.170072646666666,25.677795,15.34077589970144,10.33701910029856,1073741824,879.1051038330553
gcc,8080,1,1,12,1,0,1,1.0,1.0175075919996743,13.170072646666666,22.474393,13.400648905170577,9.073744094829422,1073741824,1006.3806973543719
gcc,8080,1,1,13,1,0,1,1.0,1.1650574319992302,13.170072646666666,25.890583,15.34389101696877,10.546691983031229,1073741824,878.9266278854798
gcc,8080,1,1,14,1,0,1,1.0,1.1688080740004807,13.170072646666666,25.808876,15.393287244596879,10.415588755403123,1073741824,876.1061997930542
gcc,8080,1,1,15,1,0,1,1.0,1.161650189998909,13.170072646666666,26.140235,15.299017392299765,10.841217607700235,1073741824,881.5046119873331
gcc,8080,1,1,16,1,0,1,1.0,1.1825263599985192,13.170072646666666,27.304313,15.573958067778797,11.730354932221204,1073741824,865.9426416517956
gcc,8080,1,1,17,1,0,1,1.0,1.096896970000671,13.170072646666666,25.20968,14.446212780817383,10.763467219182616,1073741824,933.5425550490613
gcc,8080,1,1,18,1,0,1,1.0,1.1640946360003,13.170072646666666,26.059199,15.33121092371894,10.72798807628106,1073741824,879.653567959346
gcc,8080,1,1,19,1,0,1,1.0,1.1714824760001648,13.170072646666666,25.982497,15.42850931321911,10.55398768678089,1073741824,874.1061185108637
gcc,8080,1,1,20,1,0,1,1.0,1.1650841620012216,13.170072646666666,25.593983,15.344243053036843,10.249739946963158,1073741824,878.9064630671088
gcc,8080,1,1,21,1,0,1,1.0,1.0187160040004528,13.170072646666666,22.155745,13.416563779007934,8.739181220992066,1073741824,1005.1869176284629
gcc,8080,1,1,22,1,0,1,1.0,1.0171282329993119,13.170072646666666,23.862032,13.395652719576637,10.466379280423363,1073741824,1006.7560478391448
gcc,8080,1,1,23,1,0,1,1.0,1.0067296130000614,13.170072646666666,22.775678,13.258702138761427,9.516975861238572,1073741824,1017.154940886732
gcc,8080,1,1,24,1,0,1,1.0,1.0145828859986068,13.170072646666666,23.096065,13.362130314666375,9.733934685333624,1073741824,1009.2817591656145
gcc,8080,1,1,25,1,0,1,1.0,1.1674426250010583,13.170072646666666,26.605802,15.37530418207917,11.230497817920831,1073741824,877.1308996868876
gcc,8080,1,1,26,1,0,1,1.0,1.16993529300089,13.170072646666666,27.106844,15.408132800720972,11.698711199279026,1073741824,875.2620816946506
gcc,8080,1,2,0,2,0,2,1.0,1.9281555239995214,13.170072646666666,45.875328,25.39394832514533,20.481379674854672,2147483648,1062.1549841331723
gcc,8080,1,2,1,2,0,2,1.0,1.944239717000528,13.170072646666666,44.151968,25.605778315431593,18.546189684568404,2147483648,1053.3680502934833
gcc,8080,1,2,2,2,0,2,1.0,2.1367695790013386,13.170072646666666,48.270346,28.141410584634976,20.128935415365028,2147483648,958.4561761484705
gcc,8080,1,2,3,2,0,2,1.0,1.9507581490015582,13.170072646666666,44.439902,25.691626538427517,18.74827546157248,2147483648,1049.8482351839527
gcc,8080,1,2,4,2,0,2,1.0,1.922187127000143,13.170072646666666,45.175657,25.31534410307937,19.860312896920632,2147483648,1065.4529786578098
gcc,8080,1,2,5,2,0,2,1.0,1.9526263530005963,13.170072646666666,44.852814,25.716230920813643,19.13658307918636,2147483648,1048.8437774348602
gcc,8080,1,2,6,2,0,2,1.0,1.9468022080000082,13.170072646666666,44.265151,25.63952650805118,18.625624491948823,2147483648,1051.9815477834054
gcc,8080,1,2,7,2,0,2,1.0,2.1292924509998556,13.170072646666666,48.172131,28.04293626566702,20.12919473433298,2147483648,961.8218479280838
gcc,8080,1,2,8,2,0,2,1.0,1.9494769020002423,13.170072646666666,44.735937,25.674752422341864,19.061184577658135,2147483648,1050.5382227912878
gcc,8080,1,2,9,2,0,2,1.0,2.1124543700007052,13.170072646666666,47.993368,27.821177515677753,20.172190484322243,2147483648,969.4883965703441
gcc,8080,1,2,10,2,0,2,1.0,1.9378097859989794,13.170072646666666,44.407417,25.521095657028145,18.886321342971858,2147483648,1056.8632766730586
gcc,8080,1,2,11,2,0,2,1.0,1.9396847919997526,13.170072646666666,45.63712,25.545789622271265,20.091330377728738,2147483648,1055.8416545033474
gcc,8080,1,2,12,2,0,2,1.0,1.951829154000734,13.170072646666666,44.689294,25.705731752071607,18.98356224792839,2147483648,1049.2721639095005
gcc,8080,1,2,13,2,0,2,1.0,1.9385579709996819,13.170072646666666,45.035741,25.530949307840544,19.504791692159458,2147483648,1056.4553810809591
gcc,8080,1,2,14,2,0,2,1.0,1.9334348310003406,13.170072646666666,45.990053,25.463477181870175,20.526575818129828,2147483648,1059.2547352322108
gcc,8080,1,2,15,2,0,2,1.0,1.9327833950010245,13.170072646666666,46.005448,25.454897722434527,20.550550277565474,2147483648,1059.6117523034259
gcc,8080,1,2,16,2,0,2,1.0,1.920562819999759,13.170072646666666,46.225805,25.293951861883823,20.93185313811618,2147483648,1066.3540805190933
gcc,8080,1,2,17,2,0,2,1.0,1.9424894439998752,13.170072646666666,46.633437,25.582727092861496,21.050709907138504,2147483648,1054.3171837180555
gcc,8080,1,2,18,2,0,2,1.0,1.9373557180006173,13.170072646666666,46.458078,25.51511554850319,20.94296245149681,2147483648,1057.1109791409754
gcc,8080,1,2,19,2,0,2,1.0,1.932737269999052,13.170072646666666,44.542282,25.45429025280772,19.08799174719228,2147483648,1059.6370400623591
gcc,8080,1,2,20,2,0,2,1.0,1.9426028099987889,13.170072646666666,44.373972,25.584220131302853,18.78975186869715,2147483648,1054.2556561015563
gcc,8080,1,2,21,2,0,2,1.0,1.925872330999482,13.170072646666666,45.387835,25.36387850746845,20.023956492531553,2147483648,1063.4142082186395
gcc,8080,1,2,22,2,0,2,1.0,1.9524781590007478,13.170072646666666,44.389916,25.71427919506984,18.67563680493016,2147483648,1048.9233851651068
gcc,8080,1,2,23,2,0,2,1.0,1.933402512999237,13.170072646666666,45.570855,25.463051551447844,20.107803448552158,2147483648,1059.2724413205563
gcc,8080,1,2,24,2,0,2,1.0,1.9463830200002121,13.170072646666666,46.924911,25.634005771641252,21.29090522835875,2147483648,1052.2081106111257
gcc,8080,1,2,25,2,0,2,1.0,1.924932070000068,13.170072646666666,44.743689,25.35149520179934,19.392193798200662,2147483648,1063.9336483182637
gcc,8080,1,2,26,2,0,2,1.0,1.9439478929998586,13.170072646666666,45.783994,25.601934972142736,20.182059027857264,2147483648,1053.5261811156731
gcc,8080,1,4,0,4,0,4,1.0,3.872358841001187,13.170072646666666,92.232612,50.999247249947565,41.23336475005244,4294967296,1057.7532114614128
gcc,8080,1,4,1,4,0,4,1.0,3.881219525999768,13.170072646666666,92.448054,51.11594311507811,41.33211088492189,4294967296,1055.3383988103344
gcc,8080,1,4,2,4,0,4,1.0,3.8681341020001128,13.170072646666666,92.178933,50.94360713039021,41.23532586960979,4294967296,1058.9084793833968
gcc,8080,1,4,3,4,0,4,1.0,3.8778405510001903,13.170072646666666,93.029155,51.0714417688624,41.9577132311376,4294967296,1056.2579729957026
gcc,8080,1,4,4,4,0,4,1.0,3.868079439998837,13.170072646666666,91.905144,50.9428872278624,40.96225677213761,4294967296,1058.9234434133625
gcc,8080,1,4,5,4,0,4,1.0,3.869223993999185,13.170072646666666,92.368163,50.95796108719502,41.41020191280498,4294967296,1058.61020358411
gcc,8080,1,4,6,4,0,4,1.0,3.873819338999965,13.170072646666666,91.773147,51.018482114691786,40.75466488530821,4294967296,1057.354419903689
gcc,8080,1,4,7,4,0,4,1.0,3.8761170580000908,13.170072646666666,91.794554,51.04874324084507,40.745810759154935,4294967296,1056.7276319857478
gcc,8080,1,4,8,4,0,4,1.0,3.866876965999836,13.170072646666666,92.501686,50.92705055793983,41.57463544206018,4294967296,1059.2527344455918
gcc,8080,1,4,9,4,0,4,1.0,3.8833409399994707,13.170072646666666,92.439067,51.14388229156785,41.295184708432146,4294967296,1054.7618824322333
gcc,8080,1,4,10,4,0,4,1.0,3.8778634640002565,13.170072646666666,93.258712,51.07174353473783,42.186968465262176,4294967296,1056.2517319201131
gcc,8080,1,4,11,4,0,4,1.0,3.8727892320002866,13.170072646666666,92.340607,51.00491553067218,41.33569146932783,4294967296,1057.6356611806693
gcc,8080,1,4,12,4,0,4,1.0,3.8716435810001713,13.170072646666666,91.972356,50.989827223772934,40.98252877622707,4294967296,1057.9486242227572
gcc,8080,1,4,13,4,0,4,1.0,3.87412077999943,13.170072646666666,92.017961,51.022452114553424,40.995508885446576,4294967296,1057.2721483403527
gcc,8080,1,4,14,4,0,4,1.0,3.871133175000068,13.170072646666666,93.829773,50.98310513967228,42.84666786032772,4294967296,1058.0881139538496
gcc,8080,1,4,15,4,0,4,1.0,3.871181628001068,13.170072646666666,91.874949,50.9837432692154,40.8912057307846,4294967296,1058.0748705699505
gcc,8080,1,4,16,4,0,4,1.0,3.871392189999824,13.170072646666666,92.31653,50.986516386035646,41.330013613964354,4294967296,1058.0173227037963
gcc,8080,1,4,17,4,0,4,1.0,4.611733691999689,13.170072646666666,108.879471,60.73686775071618,48.142603249283816,4294967296,888.1692381989945
gcc,8080,1,4,18,4,0,4,1.0,3.8703208700007963,13.170072646666666,92.166116,50.97240702382062,41.19370897617938,4294967296,1058.3101860490335
gcc,8080,1,4,19,4,0,4,1.0,3.886049519000153,13.170072646666666,92.70178,51.17955447377607,41.52222552622393,4294967296,1054.0267127254378
gcc,8080,1,4,20,4,0,4,1.0,3.8666802379993896,13.170072646666666,91.890145,50.924459635882315,40.96568536411769,4294967296,1059.3066268441323
gcc,8080,1,4,21,4,0,4,1.0,3.86727481699927,13.170072646666666,91.920036,50.93229028450492,40.98774571549507,4294967296,1059.1437624229159
gcc,8080,1,4,22,4,0,4,1.0,3.8789389789999404,13.170072646666666,92.555089,51.08590814541624,41.469180854583755,4294967296,1055.9588645697183
gcc,8080,1,4,23,4,0,4,1.0,3.8934344699991925,13.170072646666666,91.740541,51.276814814925494,40.4637261850745,4294967296,1052.027466125775
gcc,8080,1,4,24,4,0,4,1.0,3.8644297950013424,13.170072646666666,88.848005,50.89482113811085,37.95318386188915,4294967296,1059.9235119494717
gcc,8080,1,4,25,4,0,4,1.0,3.869415229999504,13.170072646666666,89.406342,50.96047967921187,38.44586232078812,4294967296,1058.5578844688955
gcc,8080,1,4,26,4,0,4,1.0,3.871807619001629,13.170072646666666,88.854825,50.99198761616895,37.86283738383106,4294967296,1057.903801805158
gcc,8080,1,8,0,8,0,8,1.0,8.75790007499927,13.170072646666666,210.152417,115.34218021998784,94.81023678001218,8589934592,935.3840452445083
gcc,8080,1,8,1,8,0,8,1.0,7.715924822001398,13.170072646666666,181.305901,101.61929044197697,79.68661055802303,8589934592,1061.7003391014268
gcc,8080,1,8,2,8,0,8,1.0,7.713826868000979,13.170072646666666,176.831141,101.5916602353821,75.23948076461791,8589934592,1061.9890931157156
gcc,8080,1,8,3,8,0,8,1.0,9.238515730001382,13.170072646666666,218.031434,121.67192331149093,96.35951068850906,8589934592,886.7225255023487
gcc,8080,1,8,4,8,0,8,1.0,7.711914330000582,13.170072646666666,175.974756,101.56647197097735,74.40828402902267,8589934592,1062.252464103732
gcc,8080,1,8,5,8,0,8,1.0,9.230180243999712,13.170072646666666,217.648946,121.56214435530366,96.08680164469634,8589934592,887.5232967769394
gcc,8080,1,8,6,8,0,8,1.0,7.714547351999499,13.170072646666666,184.733153,101.60114906198336,83.13200393801662,8589934592,1061.8899108677779
gcc,8080,1,8,7,8,0,8,1.0,7.715380887999345,13.170072646666666,185.343595,101.61212679165494,83.73146820834505,8589934592,1061.7751889270946
gcc,8080,1,8,8,8,0,8,1.0,7.711559314000624,13.170072646666666,185.29123,101.56179638446717,83.72943361553284,8589934592,1062.3013668749352
gcc,8080,1,8,9,8,0,8,1.0,7.721497304999502,13.170072646666666,184.268959,101.69268044788433,82.57627855211567,8589934592,1060.9341266875606
gcc,8080,1,8,10,8,0,8,1.0,7.767242041998543,13.170072646666666,186.186981,102.29514195736435,83.89183904263565,8589934592,1054.6858145664487
gcc,8080,1,8,11,8,0,8,1.0,7.732920465999996,13.170072646666666,185.482397,101.84312430811539,83.6392726918846,8589934592,1059.3669023260331
gcc,8080,1,8,12,8,0,8,1.0,7.733338583999284,13.170072646666666,185.955868,101.8486309525409,84.10723704745911,8589934592,1059.3096255929763
gcc,8080,1,8,13,8,0,8,1.0,9.233535895000387,13.170072646666666,216.786121,121.6063385227594,95.17978247724061,8589934592,887.2007531194697
