compiler,port,server_threads,parallel_bench_processes,repetition,success,failed,total_iterations,downloads_per_process,elapsed_s,idle_power_w,energy_j_raw,idle_energy_j_estimated,energy_j,real_transferred_bytes,throughput_mib_s
gcc,8080,1,1,0,1,0,1,1.0,0.1664979500001209,13.170072646666666,4.27694,2.192790097022667,2.084149902977333,1073741824,6150.225873647431
gcc,8080,1,1,1,1,0,1,1.0,0.1654898710003181,13.170072646666666,4.494869,2.1795136233616845,2.315355376638315,1073741824,6187.689879811627
gcc,8080,1,1,2,1,0,1,1.0,0.15618643800007703,13.170072646666666,4.210644,2.056986734885114,2.1536572651148864,1073741824,6556.267068460163
gcc,8080,1,1,3,1,0,1,1.0,0.15873486400050751,13.170072646666666,4.288062,2.0905496904454375,2.1975123095545626,1073741824,6451.008771436161
gcc,8080,1,1,4,1,0,1,1.0,0.1790733360012382,13.170072646666666,4.812892,2.3584088442172564,2.4544831557827433,1073741824,5718.327601787234
gcc,8080,1,1,5,1,0,1,1.0,0.2078524379994633,13.170072646666666,5.014481,2.737431708239711,2.277049291760289,1073741824,4926.571994323416
gcc,8080,1,1,6,1,0,1,1.0,0.1816755429990735,13.170072646666666,4.932301,2.392680099420412,2.539620900579588,1073741824,5636.421849061005
gcc,8080,1,1,7,1,0,1,1.0,0.22518762599975162,13.170072646666666,5.397746,2.965737393547132,2.4320086064528676,1073741824,4547.319132007411
gcc,8080,1,1,8,1,0,1,1.0,0.18106760299997404,13.170072646666666,4.808071,2.384673485467457,2.423397514532543,1073741824,5655.346307313444
gcc,8080,1,1,9,1,0,1,1.0,0.15659527499883552,13.170072646666666,4.344654,2.062371147859408,2.2822828521405922,1073741824,6539.150047839022
gcc,8080,1,1,10,1,0,1,1.0,0.17446176700104843,13.170072646666666,4.701173,2.297674145469641,2.403498854530359,1073741824,5869.480847307056
gcc,8080,1,1,11,1,0,1,1.0,0.1607884719996946,13.170072646666666,4.443053,2.117595856982507,2.325457143017493,1073741824,6368.6157798796985
gcc,8080,1,1,12,1,0,1,1.0,0.16910514699884516,13.170072646666666,4.685762,2.2271270709000364,2.458634929099964,1073741824,6055.404097233025
gcc,8080,1,1,13,1,0,1,1.0,0.15916722300062247,13.170072646666666,4.312643,2.0962438898863915,2.216399110113608,1073741824,6433.485366494051
gcc,8080,1,1,14,1,0,1,1.0,0.2057943449999584,13.170072646666666,5.141535,2.710326473922635,2.431208526077365,1073741824,4975.841294376709
